cpu_s,cv,expected_overtime_min,fitness,instance,loader_release_rule,max_decision_time_s,mean_cmax_min,mean_decision_time_s,mean_loader_utilization,mean_n_reoptimizations,mean_pad_dump_utilization,mean_pad_fine_tons,mean_plant_dump_utilization,mean_plant_fine_tons,mean_truck_wait_min,method,prob_finish_within_shift,prob_pad_target,prob_plant_target,replications,rollout_seed,sd_cmax_min,search_fitness,simulation_seed,tsi_evaluations,tsi_seed
291.41245570010506,0.05,0.0,,I05,,0.0,1079.3773807579332,0.0,0.006485051975452147,0,,,,,0.0,DynSimTSI-DES,1.0,1.0,1.0,500,900000,0.7133997812659709,,500000,,12345
241.25519150006585,0.1,0.0,1079.398741083064,I05,load_only,,1079.398741083064,,,,,235.95,,865.9749999999999,,SimTSI-MC,1.0,1.0,1.0,500,,1.4344841280863674,1079.6000596583642,500000,41146,12345
299.5970579001587,0.1,0.0,1079.398741083064,I05,,,1079.398741083064,,0.00648464163683851,,0.005539161978520156,,0.01298518746200623,,0.0,SimTSI-DES,1.0,1.0,1.0,500,,1.4344841280863674,1079.6000596583642,500000,41146,12345
307.0567323002033,0.1,0.0,,I05,,0.0,1079.398741083064,0.0,0.00648464163683851,0,,,,,0.0,DynSimTSI-DES,1.0,1.0,1.0,500,900000,1.4344841280863674,,500000,,12345
239.98598559992388,0.2,0.0,1079.453978501307,I05,load_only,,1079.453978501307,,,,,235.95,,865.9749999999999,,SimTSI-MC,1.0,1.0,1.0,500,,2.9008120663637245,1080.065967474154,500000,41146,12345
304.2475845001172,0.2,0.0,1079.453978501307,I05,,,1079.453978501307,,0.006483527088272056,,0.005519628955156375,,0.012999653780741437,,0.0,SimTSI-DES,1.0,1.0,1.0,500,,2.9008120663637245,1080.065967474154,500000,41146,12345
296.9468252998777,0.2,0.0,,I05,,0.0,1079.453978501307,0.0,0.006483527088272056,0,,,,,0.0,DynSimTSI-DES,1.0,1.0,1.0,500,900000,2.9008120663637245,,500000,,12345
240.34230479993857,0.3,0.0,1079.5260796809691,I05,load_only,,1079.5260796809691,,,,,235.95,,865.9749999999999,,SimTSI-MC,1.0,1.0,1.0,500,,4.401210756730493,1080.8051672747529,500000,41146,12345
306.8682442998979,0.3,0.0,1079.5260796809691,I05,,,1079.5260796809691,,0.0064821927795783866,,0.005500566417912312,,0.013013397278331772,,0.0,SimTSI-DES,1.0,1.0,1.0,500,,4.401210756730493,1080.8051672747529,500000,41146,12345
307.74844370014034,0.3,0.0,,I05,,0.0,1079.5260796809691,0.0,0.0064821927795783866,0,,,,,0.0,DynSimTSI-DES,1.0,1.0,1.0,500,900000,4.401210756730493,,500000,,12345
688.2803244001698,0.05,0.0,956.5398590167716,I06,load_only,,956.5398590167716,,,,,235.95,,865.9749,,SimTSI-MC,1.0,1.0,1.0,500,,0.6950485440013513,956.0375064030122,500000,77800,12345
766.392133400077,0.05,0.0,956.5398590167716,I06,,,956.5398590167716,,0.0073244853046819216,,0.00625948949635293,,0.018834097658651877,,0.0002726717530988575,SimTSI-DES,1.0,1.0,1.0,500,,0.6950485440013513,956.0375064030122,500000,77800,12345
630.3340980999637,0.05,0.0,,I06,,0.0,956.5398590167716,0.0,0.0073244853046819216,0,,,,,0.0002726717530988575,DynSimTSI-DES,1.0,1.0,1.0,500,900000,0.6950485440013513,,500000,,12345
480.2606607999187,0.1,0.0,956.6330636340855,I06,load_only,,956.6330636340855,,,,,235.95,,865.9749,,SimTSI-MC,1.0,1.0,1.0,500,,1.3940648607921293,955.6158566207212,500000,77800,12345
652.9200213998556,0.1,0.0,956.6330636340855,I06,,,956.6330636340855,,0.00732998962561632,,0.006245577144317201,,0.018849819401802113,,0.006062032423412916,SimTSI-DES,1.0,1.0,1.0,500,,1.3940648607921293,955.6158566207212,500000,77800,12345
649.9412665998098,0.1,0.0,,I06,,0.0,956.6330636340855,0.0,0.00732998962561632,0,,,,,0.006062032423412916,DynSimTSI-DES,1.0,1.0,1.0,500,900000,1.3940648607921293,,500000,,12345
488.3157573998906,0.2,0.0,956.8095569085408,I06,load_only,,956.8095569085408,,,,,235.95,,865.9749,,SimTSI-MC,1.0,1.0,1.0,500,,2.800998778702156,954.7359659971597,500000,77800,12345
599.4892104000319,0.2,0.0,956.8095569085408,I06,,,956.8095569085408,,0.007340319628717264,,0.006217390293808735,,0.01888452461907377,,0.02380164051079156,SimTSI-DES,1.0,1.0,1.0,500,,2.800998778702156,954.7359659971597,500000,77800,12345
605.6847918999847,0.2,0.0,,I06,,0.0,956.8095569085408,0.0,0.007340319628717264,0,,,,,0.02380164051079156,DynSimTSI-DES,1.0,1.0,1.0,500,900000,2.800998778702156,,500000,,12345
492.76595430006273,0.3,0.0,956.9701441211836,I06,load_only,,956.9701441211836,,,,,235.95,,865.9749,,SimTSI-MC,1.0,1.0,1.0,500,,4.214035375532021,953.8240738809944,500000,77800,12345
607.4921445001382,0.3,0.0,956.9701441211836,I06,,,956.9701441211836,,0.007349653837724238,,0.006188886850889594,,0.018922267168679792,,0.03014876739914704,SimTSI-DES,1.0,1.0,1.0,500,,4.214035375532021,953.8240738809944,500000,77800,12345
713.720920199994,0.3,0.0,,I06,,0.0,956.9701441211836,0.0,0.007349653837724238,0,,,,,0.03014876739914704,DynSimTSI-DES,1.0,1.0,1.0,500,900000,4.214035375532021,,500000,,12345
904.4860514998436,0.05,0.0,991.5025241760244,I07,load_only,,991.5025241760244,,,,,235.95,,865.9749999999999,,SimTSI-MC,1.0,1.0,1.0,500,,0.722711613306693,990.9397108569647,500000,122528,12345
1022.0299455998465,0.05,0.0,991.5025241760244,I07,,,991.5025241760244,,0.007060072732485728,,0.006046993471070379,,0.022192912758631916,,0.06510683019862522,SimTSI-DES,1.0,1.0,1.0,500,,0.722711613306693,990.9397108569647,500000,122528,12345
